Fighter,date,H_odds,A_odds
Goran Reljic,2010-07-03,-140.0,130.0
Brock Lesnar,2010-07-03,-145.0,135.0
Jon Madsen,2010-07-03,125.0,-145.0
Forrest Petz,2010-07-03,170.0,-200.0
Karlos Vemola,2010-07-03,-145.0,125.0
Daniel Roberts,2010-07-03,-200.0,170.0
David Branch,2010-07-03,210.0,-250.0
Ricardo Romero,2010-07-03,-170.0,150.0
Chris Tuchscherer,2010-07-03,275.0,-305.0
Stephan Bonnar,2010-07-03,175.0,-190.0
Matt Brown,2010-07-03,168.0,-180.0
Kurt Pellegrino,2010-07-03,148.0,-158.0
Shane Carwin,2010-07-03,135.0,-145.0
Gerald Harris,2010-07-03,-250.0,210.0
Kendall Grove,2010-07-03,130.0,-140.0
Seth Petruzelli,2010-07-03,150.0,-170.0
Brendan Schaub,2010-07-03,-305.0,275.0
George Sotiropoulos,2010-07-03,-158.0,148.0
Krzysztof Soszynski,2010-07-03,-190.0,175.0
Chris Lytle,2010-07-03,-180.0,168.0
Chris Leben,2010-07-03,177.0,-192.0
Yoshihiro Akiyama,2010-07-03,-192.0,177.0
DaMarques Johnson,2010-08-01,180.0,-220.0
Jake Ellenberger,2010-08-01,-196.0,181.0
Tyson Griffin,2010-08-01,-320.0,290.0
Paul Kelly,2010-08-01,-105.0,-115.0
James Irvin,2010-08-01,-160.0,140.0
Takanori Gomi,2010-08-01,290.0,-320.0
Yushin Okami,2010-08-01,-200.0,185.0
Vladimir Matyushenko,2010-08-01,602.0,-752.0
Darren Elkins,2010-08-01,200.0,-240.0
Mark Munoz,2010-08-01,185.0,-200.0
Brian Stann,2010-08-01,180.0,-220.0
Jon Jones,2010-08-01,-752.0,602.0
John Howard,2010-08-01,181.0,-196.0
Rob Kimmons,2010-08-01,-195.0,168.0
Charles Oliveira,2010-08-01,-240.0,200.0
Mike Massenzio,2010-08-01,-220.0,180.0
Igor Pokrajac,2010-08-01,140.0,-160.0
Steve Steinbeiss,2010-08-01,168.0,-195.0
Jacob Volkmann,2010-08-01,-115.0,-105.0
Matthew Riddle,2010-08-01,-220.0,180.0
Matt Hughes,2010-08-07,178.0,-193.0
Clay Guida,2010-08-07,116.0,-126.0
Ben Saunders,2010-08-07,-300.0,250.0
Jon Fitch,2010-08-07,116.0,-126.0
Roy Nelson,2010-08-07,315.0,-345.0
Chael Sonnen,2010-08-07,410.0,-460.0
Thiago Alves,2010-08-07,-126.0,116.0
Rafael Dos Anjos,2010-08-07,-126.0,116.0
Ricardo Almeida,2010-08-07,-193.0,178.0
Junior Dos Santos,2010-08-07,-345.0,315.0
Phil Davis,2010-08-07,-900.0,600.0
Stefan Struve,2010-08-07,-200.0,170.0
Tim Boetsch,2010-08-07,-350.0,290.0
Todd Brown,2010-08-07,290.0,-350.0
Johny Hendricks,2010-08-07,-370.0,310.0
Rodney Wallace,2010-08-07,600.0,-900.0
Charlie Brenneman,2010-08-07,310.0,-370.0
Rick Story,2010-08-07,130.0,-150.0
Anderson Silva,2010-08-07,-460.0,410.0
Dustin Hazelett,2010-08-07,-150.0,130.0
Dennis Hallman,2010-08-07,250.0,-300.0
Christian Morecraft,2010-08-07,170.0,-200.0
Randy Couture,2010-08-28,-600.0,500.0
Frankie Edgar,2010-08-28,248.0,-270.0
Kenny Florian,2010-08-28,-140.0,130.0
Joe Lauzon,2010-08-28,-320.0,290.0
Mike Pierce,2010-08-28,-325.0,265.0
Nick Osipczak,2010-08-28,-200.0,170.0
Dan Miller,2010-08-28,-230.0,190.0
Andre Winner,2010-08-28,-115.0,105.0
Demian Maia,2010-08-28,-210.0,190.0
Nate Diaz,2010-08-28,-190.0,175.0
John Salter,2010-08-28,190.0,-230.0
Gray Maynard,2010-08-28,130.0,-140.0
BJ Penn,2010-08-28,-270.0,248.0
James Toney,2010-08-28,500.0,-600.0
Mario Miranda,2010-08-28,190.0,-210.0
Nik Lentz,2010-08-28,105.0,-115.0
Marcus Davis,2010-08-28,175.0,-190.0
Gabe Ruediger,2010-08-28,290.0,-320.0
Amilcar Alves,2010-08-28,265.0,-325.0
Greg Soto,2010-08-28,170.0,-200.0
Brian Foster,2010-09-15,-240.0,200.0
TJ Waldburger,2010-09-15,140.0,-160.0
Rich Attonito,2010-09-15,168.0,-195.0
Tomasz Drwal,2010-09-15,-155.0,135.0
Jared Hamman,2010-09-15,-185.0,160.0
Yves Edwards,2010-09-15,105.0,-125.0
Cole Miller,2010-09-15,190.0,-210.0
Forrest Petz,2010-09-15,200.0,-240.0
David Mitchell,2010-09-15,-160.0,140.0
Rafael Natal,2010-09-15,-195.0,168.0
David Branch,2010-09-15,135.0,-155.0
Jim Miller,2010-09-15,-125.0,115.0
Rousimar Palhares,2010-09-15,215.0,-235.0
Charles Oliveira,2010-09-15,145.0,-155.0
Nate Marquardt,2010-09-15,-235.0,215.0
Efrain Escudero,2010-09-15,-155.0,145.0
Ross Pearson,2010-09-15,-210.0,190.0
John Gunderson,2010-09-15,-125.0,105.0
Kyle Kingsbury,2010-09-15,160.0,-185.0
Gleison Tibau,2010-09-15,115.0,-125.0
Mark Hunt,2010-09-25,-190.0,165.0
Steve Lopez,2010-09-25,140.0,-160.0
Thiago Tavares,2010-09-25,-280.0,240.0
Matt Mitrione,2010-09-25,-174.0,164.0
CB Dollaway,2010-09-25,-255.0,235.0
Melvin Guillard,2010-09-25,-105.0,-105.0
Sean Sherk,2010-09-25,167.0,-178.0
Matt Serra,2010-09-25,125.0,-135.0
TJ Grant,2010-09-25,-220.0,180.0
Evan Dunham,2010-09-25,-178.0,167.0
Rogerio Nogueira,2010-09-25,160.0,-170.0
Sean McCorkle,2010-09-25,165.0,-190.0
Julio Paulino,2010-09-25,180.0,-220.0
Waylon Lowe,2010-09-25,-160.0,140.0
Pat Audinwood,2010-09-25,240.0,-280.0
Joey Beltran,2010-09-25,164.0,-174.0
Mirko Cro Cop,2010-09-25,190.0,-210.0
Ryan Bader,2010-09-25,-170.0,160.0
Chris Lytle,2010-09-25,-135.0,125.0
Jeremy Stephens,2010-09-25,-105.0,-105.0
Frank Mir,2010-09-25,-210.0,190.0
Joe Doerksen,2010-09-25,235.0,-255.0
James McSweeney,2010-10-16,200.0,-240.0
Cyrille Diabate,2010-10-16,135.0,-155.0
James Wilks,2010-10-16,145.0,-165.0
Cheick Kongo,2010-10-16,-178.0,167.0
John Hathaway,2010-10-16,-475.0,420.0
Dan Hardy,2010-10-16,-170.0,160.0
Michael Bisping,2010-10-16,-210.0,190.0
Spencer Fisher,2010-10-16,-210.0,175.0
Rob Broughton,2010-10-16,145.0,-165.0
Yoshihiro Akiyama,2010-10-16,190.0,-210.0
Paul Sass,2010-10-16,-185.0,160.0
Vinicius Queiroz,2010-10-16,-165.0,145.0
Mark Holst,2010-10-16,160.0,-185.0
Mike Pyle,2010-10-16,420.0,-475.0
Alexander Gustafsson,2010-10-16,-155.0,135.0
Claude Patrick,2010-10-16,-165.0,145.0
Carlos Condit,2010-10-16,160.0,-170.0
Curt Warburton,2010-10-16,175.0,-210.0
Travis Browne,2010-10-16,167.0,-178.0
Fabio Maldonado,2010-10-16,-240.0,200.0
Brock Lesnar,2010-10-23,-165.0,155.0
Diego Sanchez,2010-10-23,130.0,-140.0
Tito Ortiz,2010-10-23,163.0,-173.0
Jon Madsen,2010-10-23,-225.0,185.0
Brendan Schaub,2010-10-23,125.0,-145.0
Court McGee,2010-10-23,-250.0,210.0
Sam Stout,2010-10-23,-200.0,170.0
Patrick Cote,2010-10-23,-175.0,155.0
Mike Guymon,2010-10-23,125.0,-145.0
Jake Shields,2010-10-23,-170.0,160.0
Gilbert Yvel,2010-10-23,185.0,-225.0
Chris Camozzi,2010-10-23,-110.0,-110.0
Cain Velasquez,2010-10-23,155.0,-165.0
Martin Kampmann,2010-10-23,160.0,-170.0
Matt Hamill,2010-10-23,-173.0,163.0
Gabriel Gonzaga,2010-10-23,-145.0,125.0
Paulo Thiago,2010-10-23,-140.0,130.0
Tom Lawlor,2010-10-23,155.0,-175.0
Daniel Roberts,2010-10-23,-145.0,125.0
Paul Taylor,2010-10-23,170.0,-200.0
Dongi Yang,2010-10-23,-110.0,-110.0
Ryan Jensen,2010-10-23,210.0,-250.0
Nick Osipczak,2010-11-13,-340.0,280.0
Alexandre Ferreira,2010-11-13,180.0,-220.0
Mark Scanlon,2010-11-13,190.0,-230.0
Rob Kimmons,2010-11-13,180.0,-220.0
Karlos Vemola,2010-11-13,-115.0,-105.0
Carlos Eduardo Rocha,2010-11-13,-105.0,-115.0
Andre Winner,2010-11-13,-115.0,105.0
Duane Ludwig,2010-11-13,280.0,-340.0
Dennis Siver,2010-11-13,105.0,-115.0
Amir Sadollah,2010-11-13,-265.0,245.0
Krzysztof Soszynski,2010-11-13,-108.0,-102.0
Goran Reljic,2010-11-13,-102.0,-108.0
Vladimir Matyushenko,2010-11-13,-220.0,180.0
Pascal Krauss,2010-11-13,-230.0,190.0
Kyle Noke,2010-11-13,-220.0,180.0
Seth Petruzelli,2010-11-13,-105.0,-115.0
Kris McCray,2010-11-13,-115.0,-105.0
Nate Marquardt,2010-11-13,-190.0,175.0
Peter Sobotta,2010-11-13,245.0,-265.0
Yushin Okami,2010-11-13,175.0,-190.0
Edson Barboza,2010-11-20,-445.0,355.0
Brian Foster,2010-11-20,-130.0,120.0
TJ O'Brien,2010-11-20,170.0,-200.0
Nik Lentz,2010-11-20,190.0,-230.0
Joe Lauzon,2010-11-20,205.0,-225.0
Matt Hughes,2010-11-20,195.0,-215.0
Rampage Jackson,2010-11-20,215.0,-235.0
Tim Boetsch,2010-11-20,425.0,-485.0
Maiquel Falcao,2010-11-20,230.0,-250.0
BJ Penn,2010-11-20,-215.0,195.0
Lyoto Machida,2010-11-20,-235.0,215.0
Dennis Hallman,2010-11-20,140.0,-160.0
Mark Munoz,2010-11-20,-125.0,115.0
Karo Parisyan,2010-11-20,-160.0,140.0
Matt Brown,2010-11-20,120.0,-130.0
George Sotiropoulos,2010-11-20,-225.0,205.0
Phil Davis,2010-11-20,-485.0,425.0
Tyson Griffin,2010-11-20,-230.0,190.0
Paul Kelly,2010-11-20,-200.0,170.0
Mike Lullo,2010-11-20,355.0,-445.0
Gerald Harris,2010-11-20,-250.0,230.0
Aaron Simpson,2010-11-20,115.0,-125.0
Demian Maia,2010-12-04,-295.0,265.0
Tyler Toner,2010-12-04,-275.0,235.0
David Branch,2010-12-04,-160.0,140.0
Pablo Garza,2010-12-04,165.0,-190.0
Nick Pace,2010-12-04,100.0,-120.0
Leonard Garcia,2010-12-04,-190.0,165.0
Aaron Wilkinson,2010-12-04,-110.0,-110.0
Kyle Watson,2010-12-04,-170.0,150.0
Michael Johnson,2010-12-04,190.0,-230.0
Rick Story,2010-12-04,167.0,-178.0
Igor Pokrajac,2010-12-04,220.0,-240.0
Stephan Bonnar,2010-12-04,-240.0,220.0
Kendall Grove,2010-12-04,265.0,-295.0
Johny Hendricks,2010-12-04,-178.0,167.0
Nam Phan,2010-12-04,165.0,-190.0
Jonathan Brookins,2010-12-04,-230.0,190.0
Ian Loveland,2010-12-04,235.0,-275.0
Sako Chivitchian,2010-12-04,150.0,-170.0
Will Campuzano,2010-12-04,-120.0,100.0
Fredson Paixao,2010-12-04,-190.0,165.0
Rich Attonito,2010-12-04,140.0,-160.0
Cody McKenzie,2010-12-04,-110.0,-110.0
Thiago Alves,2010-12-11,-300.0,270.0
Joe Stevenson,2010-12-11,-240.0,220.0
Jim Miller,2010-12-11,140.0,-150.0
Stefan Struve,2010-12-11,-120.0,110.0
Matthew Riddle,2010-12-11,-250.0,210.0
Jesse Bongfeldt,2010-12-11,140.0,-160.0
TJ Grant,2010-12-11,130.0,-150.0
Mac Danzig,2010-12-11,220.0,-240.0
Pat Audinwood,2010-12-11,-145.0,125.0
Georges St-Pierre,2010-12-11,-440.0,390.0
Charles Oliveira,2010-12-11,-150.0,140.0
John Makdessi,2010-12-11,125.0,-145.0
Ricardo Almeida,2010-12-11,-150.0,130.0
Sean McCorkle,2010-12-11,110.0,-120.0
Josh Koscheck,2010-12-11,390.0,-440.0
Joe Doerksen,2010-12-11,210.0,-250.0
John Howard,2010-12-11,270.0,-300.0
Mark Bocek,2010-12-11,-150.0,130.0
Sean Pierson,2010-12-11,210.0,-250.0
Rafael Natal,2010-12-11,-160.0,140.0
Dan Miller,2010-12-11,-250.0,210.0
Dustin Hazelett,2010-12-11,130.0,-150.0
Thiago Silva,2011-01-01,-135.0,125.0
Nate Diaz,2011-01-01,121.0,-131.0
Clay Guida,2011-01-01,-137.0,127.0
Jeremy Stephens,2011-01-01,-300.0,250.0
Brad Tavares,2011-01-01,-280.0,240.0
Josh Grispi,2011-01-01,-300.0,250.0
Marcus Davis,2011-01-01,250.0,-300.0
Takanori Gomi,2011-01-01,127.0,-137.0
Dong Hyun Kim,2011-01-01,-131.0,121.0
Brian Stann,2011-01-01,137.0,-147.0
Brandon Vera,2011-01-01,125.0,-135.0
Gray Maynard,2011-01-01,-147.0,137.0
Dustin Poirier,2011-01-01,250.0,-300.0
Phil Baroni,2011-01-01,240.0,-280.0
Mike Brown,2011-01-01,-225.0,185.0
Daniel Roberts,2011-01-01,-115.0,-105.0
Jacob Volkmann,2011-01-01,170.0,-200.0
Diego Nunes,2011-01-01,185.0,-225.0
Greg Soto,2011-01-01,-105.0,-115.0
Antonio McKee,2011-01-01,-200.0,170.0
Frankie Edgar,2011-01-01,137.0,-147.0
Chris Leben,2011-01-01,-147.0,137.0
Evan Dunham,2011-01-22,-225.0,205.0
Will Campuzano,2011-01-22,100.0,-120.0
Cole Miller,2011-01-22,-135.0,125.0
Waylon Lowe,2011-01-22,-110.0,-110.0
Tim Hague,2011-01-22,230.0,-250.0
George Roop,2011-01-22,230.0,-250.0
Joey Beltran,2011-01-22,164.0,-174.0
Matt Wiman,2011-01-22,125.0,-135.0
Yves Edwards,2011-01-22,-310.0,255.0
Mike Guymon,2011-01-22,105.0,-125.0
Mike Brown,2011-01-22,-350.0,290.0
Charlie Brenneman,2011-01-22,-220.0,180.0
Willamy Freire,2011-01-22,-110.0,-110.0
Chris Cariaso,2011-01-22,-120.0,100.0
Melvin Guillard,2011-01-22,205.0,-225.0
Mark Hominick,2011-01-22,-250.0,230.0
Pat Barry,2011-01-22,-174.0,164.0
Cody McKenzie,2011-01-22,255.0,-310.0
DaMarques Johnson,2011-01-22,-125.0,105.0
Rani Yahya,2011-01-22,290.0,-350.0
Amilcar Alves,2011-01-22,180.0,-220.0
Matt Mitrione,2011-01-22,-250.0,230.0
Norifumi Yamamoto,2011-02-05,-115.0,-105.0
Kyle Kingsbury,2011-02-05,115.0,-135.0
Mike Pierce,2011-02-05,-240.0,200.0
Vitor Belfort,2011-02-05,190.0,-210.0
Rich Franklin,2011-02-05,-128.0,118.0
Ryan Bader,2011-02-05,258.0,-285.0
Carlos Eduardo Rocha,2011-02-05,255.0,-280.0
Antonio Banuelos,2011-02-05,290.0,-320.0
Paul Kelly,2011-02-05,235.0,-275.0
Michihiro Omigawa,2011-02-05,305.0,-365.0
Gabe Ruediger,2011-02-05,180.0,-220.0
Demetrious Johnson,2011-02-05,-105.0,-115.0
Kenny Robertson,2011-02-05,200.0,-240.0
Anderson Silva,2011-02-05,-210.0,190.0
Forrest Griffin,2011-02-05,118.0,-128.0
Jon Jones,2011-02-05,-285.0,258.0
Jake Ellenberger,2011-02-05,-280.0,255.0
Miguel Torres,2011-02-05,-320.0,290.0
Donald Cerrone,2011-02-05,-275.0,235.0
Chad Mendes,2011-02-05,-365.0,305.0
Paul Taylor,2011-02-05,-220.0,180.0
Ricardo Romero,2011-02-05,-135.0,115.0
Anthony Perosh,2011-02-26,165.0,-190.0
Curt Warburton,2011-02-26,135.0,-155.0
Chris Tuchscherer,2011-02-26,-265.0,225.0
Jason Reinhardt,2011-02-26,250.0,-300.0
Riki Fukuda,2011-02-26,-120.0,100.0
Dennis Siver,2011-02-26,325.0,-360.0
Spencer Fisher,2011-02-26,160.0,-185.0
Maciej Jewtuszko,2011-02-26,-155.0,135.0
Mark Hunt,2011-02-26,225.0,-265.0
Tiequan Zhang,2011-02-26,-300.0,250.0
Tom Blackledge,2011-02-26,-190.0,165.0
Nick Ring,2011-02-26,100.0,-120.0
Alexander Gustafsson,2011-02-26,-350.0,290.0
Ross Pearson,2011-02-26,-185.0,160.0
Brian Ebersole,2011-02-26,260.0,-320.0
George Sotiropoulos,2011-02-26,-360.0,325.0
Michael Bisping,2011-02-26,-290.0,260.0
BJ Penn,2011-02-26,170.0,-185.0
Jon Fitch,2011-02-26,-185.0,170.0
Jorge Rivera,2011-02-26,260.0,-290.0
Chris Lytle,2011-02-26,-320.0,260.0
Kyle Noke,2011-02-26,-185.0,170.0
James Te Huna,2011-02-26,290.0,-350.0
Chris Camozzi,2011-02-26,170.0,-185.0
Todd Brown,2011-03-03,195.0,-235.0
Dongi Yang,2011-03-03,-225.0,185.0
Reuben Duran,2011-03-03,185.0,-225.0
Shane Roller,2011-03-03,-115.0,105.0
Cyrille Diabate,2011-03-03,125.0,-145.0
Damacio Page,2011-03-03,255.0,-310.0
Chris Weidman,2011-03-03,-230.0,190.0
Rousimar Palhares,2011-03-03,-160.0,140.0
Danny Castillo,2011-03-03,110.0,-130.0
David Branch,2011-03-03,140.0,-160.0
Rob Kimmons,2011-03-03,185.0,-225.0
Takeya Mizugaki,2011-03-03,-225.0,185.0
Thiago Tavares,2011-03-03,105.0,-115.0
Joe Stevenson,2011-03-03,-130.0,110.0
Steve Cantwell,2011-03-03,-145.0,125.0
